vendor_pn,brand,oem_display,description,broom_type,broom_type_label,size_in,filament,pattern,compatible_models,model_codes,phase,publish_status,slug,qty
SY21-131032,Tennant,21-131032,"Rotary Brush 14"" .070/46 Grit",rotary_brush,Rotary Brush,"14""",.070/46 Grit,,T5,045,2,pending,tennant-21-131032-rotary-brush-14-070-46-grit,1
SY21-131732,Tennant,21-131732,"Rotary Brush 12"" .028 Poly",rotary_brush,Rotary Brush,"12""",Poly,,5400-26D|T5,021|045,2,pending,tennant-21-131732-rotary-brush-12-poly,2
SY21-132132,Tennant,21-132132,"Rotary Brush 14"" .028 Nylon",rotary_brush,Rotary Brush,"14""",Nylon,,T5,045,2,pending,tennant-21-132132-rotary-brush-14-nylon,1
SY21-132932,Tennant,21-132932,"Pad Driver 14""",pad_driver,Pad Driver,"14""",,,T5,045,2,pending,tennant-21-132932-pad-driver-14,1
SY21-1401,Tennant,21-1401,"Side Broom 14"" 3 S.R. Flat Wire",side_broom,Side Broom,"14""",Flat Wire,single_row,355|355E|385|6400|8200-8210|8400|8410|S20,011|038|042|049,1,pending,tennant-21-1401-side-broom-14-flat-wire,1
SY21-1402,Tennant,21-1402,"Side Broom 14"" 3 S.R. White Nylon",side_broom,Side Broom,"14""",Nylon,single_row,240|240EH|250|255|255Ii|260|265|275|275Ii|275Se|280|285|355|355E|385|6400|8200-8210|8400|8410|S20|SB/SCV 32 & 3200,005|011|012|032|033|038|042|049,1,pending,tennant-21-1402-side-broom-14-nylon,1
SY21-1403,Tennant,21-1403,"Side Broom 14"" 3 S.R. Black Poly",side_broom,Side Broom,"14""",Poly,single_row,355|355E|385|6400|8200-8210|8400|8410|S20,011|038|042|049,1,pending,tennant-21-1403-side-broom-14-poly,1
SY21-1404,Tennant,21-1404,"Side Broom 15"" 3 S.R. Poly",side_broom,Side Broom,"15""",Poly,single_row,M20|M30|T20,047|048,1,pending,tennant-21-1404-side-broom-15-poly,1
SY21-1405,Tennant,21-1405,"Rotary Brush 14"" 6 S.R. Stiff Poly",side_broom,Side Broom,"14""",Stiff Poly,single_row,240|240EH|242E|250|255|260|265|275|275Se|280,005|033|034,1,pending,tennant-21-1405-side-broom-14-stiff-poly,1
SY21-1441,Tennant,21-1441,"Rotary Brush 14"" .070/46 Grit",rotary_brush,Rotary Brush,"14""",.070/46 Grit,,5680-700D|5700-700D|7100-28D,015,2,pending,tennant-21-1441-rotary-brush-14-070-46-grit,2
SY21-1444,Tennant,21-1444,"Rotary Brush 14"" .028 Poly",rotary_brush,Rotary Brush,"14""",Poly,,5680-700D|5700-700D|7100-28D,015,2,pending,tennant-21-1444-rotary-brush-14-poly,2
SY21-1446,Tennant,21-1446,"Pad Driver 14""",pad_driver,Pad Driver,"14""",,,5680-700D|5700-700D|7100-28D,015,2,pending,tennant-21-1446-pad-driver-14,2
SY21-1447,Tennant,21-1447,"Rotary Brush 14"" .028 Nylon",rotary_brush,Rotary Brush,"14""",Nylon,,5680-700D|5700-700D|7100-28D,015,2,pending,tennant-21-1447-rotary-brush-14-nylon,2
SY21-151031,Tennant,21-151031,"Rotary Brush 16"" .070/46 Grit",rotary_brush,Rotary Brush,"16""",.070/46 Grit,,M30,048,2,pending,tennant-21-151031-rotary-brush-16-070-46-grit,1
SY21-151032,Tennant,21-151032,"Rotary Brush 16"" .070/46 Grit",rotary_brush,Rotary Brush,"16""",.070/46 Grit,,T5,045,2,pending,tennant-21-151032-rotary-brush-16-070-46-grit,1
SY21-151732,Tennant,21-151732,"Rotary Brush 16"" .028 Poly",rotary_brush,Rotary Brush,"16""",Poly,,T5,045,2,pending,tennant-21-151732-rotary-brush-16-poly,1
SY21-152132,Tennant,21-152132,"Rotary Brush 16"" .028 Nylon",rotary_brush,Rotary Brush,"16""",Nylon,,T5,045,2,pending,tennant-21-152132-rotary-brush-16-nylon,1
SY21-152932,Tennant,21-152932,"Pad Driver 16""",pad_driver,Pad Driver,"16""",,,T5,045,2,pending,tennant-21-152932-pad-driver-16,1
SY21-1601,Tennant,21-1601,"Rotary Brush 16"" .070/46 Grit",rotary_brush,Rotary Brush,"16""",.070/46 Grit,,432,026,2,pending,tennant-21-1601-rotary-brush-16-070-46-grit,2
SY21-1602,Tennant,21-1602,"Rotary Brush 16"" .028 Poly",rotary_brush,Rotary Brush,"16""",Poly,,432|465|528|1654,026|027|031,2,pending,tennant-21-1602-rotary-brush-16-poly,2
SY21-1603,Tennant,21-1603,"Rotary Brush 16"" .028 Nylon",rotary_brush,Rotary Brush,"16""",Nylon,,432,026,2,pending,tennant-21-1603-rotary-brush-16-nylon,2
SY21-1604,Tennant,21-1604,"Pad Driver 16""",pad_driver,Pad Driver,"16""",,,432,026,2,pending,tennant-21-1604-pad-driver-16,2
SY21-1605,Tennant,21-1605,"Rotary Brush 16"" .070/46 Grit",rotary_brush,Rotary Brush,"16""",.070/46 Grit,,355|355E|385|480|515|515SS|1480|5680-800D|5700-800D|7100-32D|7300|7400|8010|8200|8200-8210|8210|8300|8400|8410|M20|T20,011|028|030|039|040|041|042|043|047,2,pending,tennant-21-1605-rotary-brush-16-070-46-grit,2
SY21-1606,Tennant,21-1606,"Rotary Brush 165"" .028 Poly",rotary_brush,Rotary Brush,"165""",Poly,,355|355E|385|480|515|515SS|1480|5680-800D|5700-800D|7100-32D|8200|8210|8400|8410|M30,011|028|030|048,2,pending,tennant-21-1606-rotary-brush-165-poly,2
SY21-1607,Tennant,21-1607,"Rotary Brush 16"" .028 Nylon",rotary_brush,Rotary Brush,"16""",Nylon,,355|355E|385|480|515|515SS|1480|5680-800D|5700-800D|7100-32D|7300|7400|8010|8200|8200-8210|8210|8300|8400|8410|M20|M30|T20,011|028|030|039|040|041|042|043|047|048,2,pending,tennant-21-1607-rotary-brush-16-nylon,2
SY21-1608,Tennant,21-1608,"Rotary Brush 16"" .028 Poly",rotary_brush,Rotary Brush,"16""",Poly,,355|355E|385|480|515|515SS|1480|5680-800D|5700-800D|7100-32D|7300|8010|8200|8200-8210|8210|8300|8400|8410|M20|T20,011|028|030|039|041|042|043|047,2,pending,tennant-21-1608-rotary-brush-16-poly,2
